"geo_accession","sample_id","label_from_sample_id","tissue_from_sample_id","inferred_group_from_sample_id","file_order_index","inventory_quant_path","inventory_tissue","inventory_group","matched_quant_inventory_by_GSM"
"GSM7140502","GSM7140502_CON5_synovium","CON5_synovium","synovium","Control_52W",65,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140502_CON5_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140503","GSM7140503_RECON1_synovium","RECON1_synovium","synovium","Reconstruction_52W",66,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140503_RECON1_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140504","GSM7140504_RECON2_synovium","RECON2_synovium","synovium","Reconstruction_52W",67,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140504_RECON2_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140505","GSM7140505_RECON3_synovium","RECON3_synovium","synovium","Reconstruction_52W",68,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140505_RECON3_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140506","GSM7140506_RECON4_synovium","RECON4_synovium","synovium","Reconstruction_52W",69,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140506_RECON4_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140507","GSM7140507_CON6_synovium","CON6_synovium","synovium","Control_52W",70,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140507_CON6_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140508","GSM7140508_RECON5_synovium","RECON5_synovium","synovium","Reconstruction_52W",71,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140508_RECON5_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140509","GSM7140509_RECON6_synovium","RECON6_synovium","synovium","Reconstruction_52W",72,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140509_RECON6_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140510","GSM7140510_RECON7_synovium","RECON7_synovium","synovium","Reconstruction_52W",73,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140510_RECON7_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140511","GSM7140511_CON7_synovium","CON7_synovium","synovium","Control_52W",74,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140512","GSM7140512_RECON8_synovium","RECON8_synovium","synovium","Reconstruction_52W",75,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140512_RECON8_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140513","GSM7140513_RECON9_synovium","RECON9_synovium","synovium","Reconstruction_52W",76,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140513_RECON9_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140514","GSM7140514_RECON10_synovium","RECON10_synovium","synovium","Reconstruction_52W",77,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140514_RECON10_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
