"timepoint","gene_symbol","logFC","P.Value","FDR","P.Value_raw","P.Value_for_rank","p_value_replaced_for_rank","rank_stat","rank_order"
"4W","Nxph4",1.27684592341326,8.39752341444925e-05,0.000351928996490795,8.39752341444925e-05,8.39752341444925e-05,FALSE,4.0758487765602,1955
"4W","Tmem198b",0.684717381251054,8.40791949336509e-05,0.000352261561214558,8.40791949336509e-05,8.40791949336509e-05,FALSE,4.07531145537119,1956
"4W","Il4ra",1.12111280796368,8.42444348915594e-05,0.000352747391022979,8.42444348915594e-05,8.42444348915594e-05,FALSE,4.07445877859566,1957
"4W","Mmp17",1.00539273487412,8.43156299767843e-05,0.00035289990711066,8.43156299767843e-05,8.43156299767843e-05,FALSE,4.07409191074337,1958
"4W","Pbx1",0.361084974294561,8.4354811548804e-05,0.00035289990711066,8.4354811548804e-05,8.4354811548804e-05,FALSE,4.0738901404667,1959
"4W","Atf6b",0.455725067477853,8.45822385138653e-05,0.000353644663132154,8.45822385138653e-05,8.45822385138653e-05,FALSE,4.0727208252029,1960
"4W","Gng8",0.977013283323458,8.50226672258242e-05,0.000355337248356632,8.50226672258242e-05,8.50226672258242e-05,FALSE,4.07046527500654,1961
"4W","Boc",0.987256078916724,8.5036701094567e-05,0.000355337248356632,8.5036701094567e-05,8.5036701094567e-05,FALSE,4.07039359613546,1962
"4W","Cspp1",0.392630789976362,8.51349441834838e-05,0.000355643962921142,8.51349441834838e-05,8.51349441834838e-05,FALSE,4.06989214436807,1963
"4W","Mpzl1",0.784978571559254,8.53137244769075e-05,0.000356225802609827,8.53137244769075e-05,8.53137244769075e-05,FALSE,4.06898109796342,1964
"4W","Eng",0.767940929600295,8.532399253626e-05,0.000356225802609827,8.532399253626e-05,8.532399253626e-05,FALSE,4.0689288309547,1965
"4W","Ngf",1.11742954497664,8.5456809779779e-05,0.000356590860881081,8.5456809779779e-05,8.5456809779779e-05,FALSE,4.06825332402642,1966
"4W","Sema4g",1.28857565496992,8.60095960884516e-05,0.000358669786659561,8.60095960884516e-05,8.60095960884516e-05,FALSE,4.06545309182889,1967
"4W","Ccdc163",0.544374246374326,8.61731569564561e-05,0.000359142624450837,8.61731569564561e-05,8.61731569564561e-05,FALSE,4.06462799637027,1968
"4W","Gba1",0.41453449656373,8.64775566649195e-05,0.000359887413143892,8.64775566649195e-05,8.64775566649195e-05,FALSE,4.06309658942863,1969
"4W","Pafah1b2",0.40562941266257,8.74172932468303e-05,0.00036326462844209,8.74172932468303e-05,8.74172932468303e-05,FALSE,4.05840264495417,1970
"4W","Fbn2",3.25773109492056,8.74413180784746e-05,0.00036326462844209,8.74413180784746e-05,8.74413180784746e-05,FALSE,4.05828330451337,1971
"4W","Bdkrb2",1.40052907378107,8.7475046124001e-05,0.000363299321239106,8.7475046124001e-05,8.7475046124001e-05,FALSE,4.05811581984941,1972
"4W","Anks3",0.26055281601877,8.75363825225598e-05,0.000363448623025802,8.75363825225598e-05,8.75363825225598e-05,FALSE,4.05781140475229,1973
"4W","Flywch2",1.09030098881517,8.76295746616401e-05,0.000363673417265382,8.76295746616401e-05,8.76295746616401e-05,FALSE,4.0573492962898,1974
"4W","Slc35d2",0.66346330924151,8.78072099665531e-05,0.000363939785142204,8.78072099665531e-05,8.78072099665531e-05,FALSE,4.05646982213342,1975
"4W","Pot1b",0.398644449802088,8.81730073231017e-05,0.000365202096530172,8.81730073231017e-05,8.81730073231017e-05,FALSE,4.05466434644199,1976
"4W","Rgs10",0.790762630928382,8.88175429842789e-05,0.000367276702877798,8.88175429842789e-05,8.88175429842789e-05,FALSE,4.05150124515839,1977
"4W","Alms1",0.66477270643193,8.9198594605716e-05,0.000368214267697644,8.9198594605716e-05,8.9198594605716e-05,FALSE,4.04964198822243,1978
"4W","Anxa2",0.857381673716381,8.92523478436346e-05,0.000368329954375749,8.92523478436346e-05,8.92523478436346e-05,FALSE,4.04938035065416,1979
"4W","Msi1",1.52875331893663,8.9283451488105e-05,0.000368352130116343,8.9283451488105e-05,8.9283451488105e-05,FALSE,4.04922902927943,1980
