"gene_id","logFC","AveExpr","t","P.Value","FDR","B","ENTREZID","SYMBOL","strict_DEG","direction","label_final","label_score"
"G10090_16534",-0.810708558222683,5.47528544601591,-8.72788805394682,4.17547477937894e-09,5.29772658596976e-08,10.6472751950127,"15108","Hsd17b10",FALSE,"Not_strict","Hsd17b10",5.89864287818749
"G10090_27024",-0.781947764369751,4.34852485887918,-8.72785743878791,4.17575635780351e-09,5.29772658596976e-08,10.6542193688411,"664994","Isoc2a",FALSE,"Not_strict","Isoc2a",5.6893819173762
"G10090_1276",1.2475365919521,4.61112250249046,8.72746192518312,4.179395790343e-09,5.29772658596976e-08,10.6835385424145,"27419","Naglu",TRUE,"Up","Naglu",9.07696453769922
"G10090_19284",-1.05816816207813,5.39065572826429,-8.72583276324601,4.19442138205886e-09,5.31206764589773e-08,10.6404108668191,"71883","Coq2",TRUE,"Down","Coq2",7.69789444930614
"G10090_12923",1.52483345339795,5.51730006273981,8.72502750387265,4.20186868775453e-09,5.31630499981201e-08,10.694246974549,"16889","Lipa",TRUE,"Up","Lipa",11.0922333947209
"G10090_30003",1.3969346799401,3.87609180001813,8.72466810793027,4.20519688336748e-09,5.31630499981201e-08,10.7385710935228,"74211","1700017B05Rik",TRUE,"Up","1700017B05Rik",10.1618478218364
"G10090_12248",0.947956882884664,6.99090768711123,8.72306464311129,4.22007883772542e-09,5.32841909283079e-08,10.7836894084356,"76453","Prss23",FALSE,"Not_strict","Prss23",6.89487113164561
"G10090_25930",-1.40433298536955,7.19676302013683,-8.72283380381379,4.22222573633577e-09,5.32841909283079e-08,10.7943618787769,"17995","Ndufv1",TRUE,"Down","Ndufv1",10.2142778167056
"G10090_20030",-1.03548282694085,2.68955391770786,-8.72143528003856,4.23525658321579e-09,5.33945018856134e-08,10.830919604826,"399568","Cdin1",TRUE,"Down","Cdin1",7.53055244236397
"G10090_10777",2.53597701197265,5.68170978043692,8.72109549685888,4.23842877101928e-09,5.33945018856134e-08,10.7363029922244,"26432","Plod2",TRUE,"Up","Plod2",18.4429015956827
