"","M131L","M131R","M137L","M137R","M140L","M140R","M146L","M146R","M150L","M150R","M154L","M154R","M157L","M157R","M161L","M161R","M166L","M166R","M169L","M169R","M173L","M173R","M176L","M176R"
"G10090_4671",6.57626235786985,6.71988198537346,6.77356253510218,6.75235844241238,6.89137555451234,6.91435744709255,6.74376578633531,6.65616765567089,6.65176687113507,6.56042422668081,6.70413818004591,6.93362964752772,6.76358412873376,6.73000568586605,6.6663733028931,6.8772671363132,6.44802778596504,6.66475770716642,6.32615583508484,6.79657241292817,6.59114422235643,6.74880943041615,6.70950214967016,6.36958372148012
"G10090_9289",2.80964922971437,3.67888693522995,2.71320536078453,4.02467359109284,2.13166298082489,3.26673390417989,2.55136996701285,3.70052459483688,2.73426573785549,3.70365711049813,2.75352620700808,2.58972935379966,2.92999251700576,3.06510698874692,2.82715447912667,3.56714527573233,2.83689811565165,3.44940074392089,3.48035752356828,3.62429487115065,3.00060749898599,3.39060835256946,3.01520156862648,3.20776376967486
"G10090_1889",4.20046878590325,4.17315112565937,4.37367494943173,4.0516616586618,4.41836584570043,4.06344370534855,4.2234477469983,3.96333235782347,4.35537966418458,4.07875183835042,4.73042313784842,4.51773216797848,4.2567127385978,4.15242067568946,4.19449885316196,4.20284110751312,4.31351089405145,3.97400428188792,4.55347148879621,4.09093237377796,4.23903559819969,4.04203962019715,4.23233347350223,4.19436591445932
"G10090_25860",8.72356731853419,8.33510033152466,9.03841347040891,6.9553551036456,9.56687777205721,7.92066772530509,8.45382286290309,7.46979381685842,9.58287784955793,7.99395453839229,9.59060033768379,9.43107313075664,8.08075338471034,8.5696380218311,8.95982750794394,8.54214228924718,9.09970921887733,7.31326457600929,9.16460568176319,8.42387176082309,9.15818298499107,7.8752269072485,8.8375203654303,8.88189964840348
"G10090_12744",6.4242877821022,5.7967487730951,5.64542452068104,5.95996269487647,5.43975042132472,5.8379195454217,7.08200397174536,6.40524639500651,5.90529965175892,6.00276313199322,5.41293151919834,5.80547457729431,7.7169173503771,6.33357190473714,6.54810679459347,5.67456031048183,6.01013300105999,6.01155017912303,6.73158262711244,5.52894699456316,6.74645232651412,6.21760235855548,6.54633465261796,6.03438702543725
"G10090_12860",4.27066779718717,4.12081966157186,4.14057137125293,4.41249772937515,3.99687554518354,4.21879264828283,4.28868998816546,4.19331410405665,3.96235207892981,4.10447317677847,4.52529168368777,4.13608901529707,4.39063577176105,4.25378491069204,4.20248427045462,4.0131103928332,3.97711029082553,4.08099881360479,4.15262243239633,4.28883898557888,4.35393769301249,4.16540351503667,4.10859810507998,4.0744972388114
"G10090_29436",7.3200901378929,7.39750880413242,7.12467208105941,7.69654241074906,7.083518773111,7.61815543265468,7.3654189555489,7.72771667614634,7.1303816029559,7.4665120457453,6.95866970328872,7.04460885449025,7.52569294713433,7.57136837416619,7.33627281429013,7.52272563952951,7.12430626696264,7.66312263253187,7.19706841088385,7.30998939947873,7.33325416184126,7.59087208705988,7.26570618676943,7.29351404365608
"G10090_10570",5.48870326529631,5.21832372761804,5.14935128518355,5.22022440021065,5.12348390041842,5.3038741491726,5.17423126358054,5.40628888008756,5.14711757168302,5.26289326902359,5.26846121448611,5.23148901827647,4.70615489920621,5.22627208740339,5.14770464168302,5.3516573850181,5.14534298117539,5.38862523863726,4.7562883717959,5.33973394226548,4.97300804805391,5.17212937822498,5.18614722454425,5.06716543950206
"G10090_14533",4.50443500838828,4.39491409888772,4.59080312192385,4.19169489556365,4.51879271358066,4.22706619090534,4.72247605328649,4.30841961739578,4.71289208706292,4.25194989133701,4.59964547728679,4.3619704227134,4.6564611435827,4.09645752791355,4.40981969426545,4.33581648378153,4.85265530132722,4.48178671742247,4.64390495523987,4.10618567929364,4.42662613699347,4.25390314759349,4.93084628504237,4.32081424970026
"G10090_18552",5.95135435750923,6.1381618499035,6.13535801310405,6.16696747355796,6.36270320866198,6.22215949938123,5.77236915304943,6.01754926530306,6.24189579643512,6.13002859841251,6.26888324024337,6.33061774001315,5.62735196558111,6.1377282371601,6.03110688436917,6.32458811576737,6.1351472140695,6.08691625140424,5.80881612394476,6.26156711845341,5.91944158413351,6.17135491544846,6.10176323235929,6.14551960534432
"G10090_10515",4.22686833388631,5.39344431775547,4.16596599903445,5.89872989119634,3.35612526627663,6.09175237479377,5.42406564273777,5.45546245724264,2.673082221404,5.81441924882645,3.24033096650932,3.60629863401749,3.97333572798662,4.94693329253693,4.37491407931725,5.18531705700143,3.11415247202262,5.83447245196963,2.91301387548335,4.9309562093847,3.7861299133304,5.19364724576879,4.75492127442938,4.54848161307738
"G10090_3285",-1.63242122826149,-2.57076525868309,-1.1512499685036,-2.82764310527482,-0.0131085433890863,-0.865562051641327,-0.00899056047522863,-0.858831249748211,0.899190058239437,-1.65389489411996,-0.112923462571944,0.412644560784486,-2.24260167121253,-0.957894836614697,-0.674198588943737,-0.741777109330269,-0.473889421630511,-2.66874171541887,0.214593324978911,-2.14300680138652,-0.183496437626083,-3.10657818806326,0.244142775791861,-0.651430083902359
