"source_type","contrast_key","file","basename","score","valid_de_table"
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/checks/stepC_check_items.csv","stepC_check_items.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/checks/stepC_check_key_files.csv","stepC_check_key_files.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_pig_early_fastq_pair_check.csv","stepC_pig_early_fastq_pair_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_rerun_fixed_tool_path_check.csv","stepC_rerun_fixed_tool_path_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_rerun_fixed_v2_pig_early_fastq_inventory.csv","stepC_rerun_fixed_v2_pig_early_fastq_inventory.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_rerun_fixed_v2_pig_early_fastq_pair_check.csv","stepC_rerun_fixed_v2_pig_early_fastq_pair_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_rerun_fixed_v2_tool_path_check.csv","stepC_rerun_fixed_v2_tool_path_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_strict_v3_pig_early_fastq_inventory.csv","stepC_strict_v3_pig_early_fastq_inventory.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_strict_v3_pig_early_fastq_pair_check.csv","stepC_strict_v3_pig_early_fastq_pair_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_strict_v3_tool_path_check.csv","stepC_strict_v3_tool_path_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepD_windows_cmd_fix_pig_early_fastq_inventory.csv","stepD_windows_cmd_fix_pig_early_fastq_inventory.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepD_windows_cmd_fix_pig_early_fastq_pair_check.csv","stepD_windows_cmd_fix_pig_early_fastq_pair_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepD_windows_cmd_fix_tool_path_check.csv","stepD_windows_cmd_fix_tool_path_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepE_pig_early_fastq_inventory.csv","stepE_pig_early_fastq_inventory.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepE_pig_early_fastq_pair_check.csv","stepE_pig_early_fastq_pair_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepG_overrepresented_sequences_likely_adapter_like.csv","stepG_overrepresented_sequences_likely_adapter_like.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepG_overrepresented_sequences_long.csv","stepG_overrepresented_sequences_long.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepG_overrepresented_sequences_module_info.csv","stepG_overrepresented_sequences_module_info.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_pig_early_signature_remap_summary.csv","step18_current78_pig_early_signature_remap_summary.csv",-20,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_pig_signature_score_run_summary.csv","step19_current78_pig_signature_score_run_summary.csv",-20,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_pig_early_hallmark_gsea_summary.csv","step20_current78_pig_early_hallmark_gsea_summary.csv",-20,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_software_versions_and_parameters.csv","step20_current78_software_versions_and_parameters.csv",-20,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_Figure4C_core_heatmap_summary.csv","step21_current78_Figure4C_core_heatmap_summary.csv",-20,FALSE
