"sample_id","geo_accession","tissue_inferred","group_inferred","filename","file","file_exists","size_bytes","size_mb"
"GSM7140495_CON3_synovium","GSM7140495","synovium","Control_52W","GSM7140495_CON3_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140495_CON3_synovium_quant.sf.txt.gz",TRUE,777716,0.742
"GSM7140496_ACLT8_synovium","GSM7140496","synovium","ACLT_alone_52W","GSM7140496_ACLT8_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140496_ACLT8_synovium_quant.sf.txt.gz",TRUE,780336,0.744
"GSM7140497_ACLT9_synovium","GSM7140497","synovium","ACLT_alone_52W","GSM7140497_ACLT9_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz",TRUE,762774,0.727
"GSM7140498_ACLT10_synovium","GSM7140498","synovium","ACLT_alone_52W","GSM7140498_ACLT10_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140498_ACLT10_synovium_quant.sf.txt.gz",TRUE,766525,0.731
"GSM7140499_ACLT11_synovium","GSM7140499","synovium","ACLT_alone_52W","GSM7140499_ACLT11_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140499_ACLT11_synovium_quant.sf.txt.gz",TRUE,739742,0.705
"GSM7140500_CON4_synovium","GSM7140500","synovium","Control_52W","GSM7140500_CON4_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140500_CON4_synovium_quant.sf.txt.gz",TRUE,765768,0.73
"GSM7140501_ACLT12_synovium","GSM7140501","synovium","ACLT_alone_52W","GSM7140501_ACLT12_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140501_ACLT12_synovium_quant.sf.txt.gz",TRUE,737529,0.703
"GSM7140502_CON5_synovium","GSM7140502","synovium","Control_52W","GSM7140502_CON5_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140502_CON5_synovium_quant.sf.txt.gz",TRUE,768978,0.733
"GSM7140503_RECON1_synovium","GSM7140503","synovium","Reconstruction_52W","GSM7140503_RECON1_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140503_RECON1_synovium_quant.sf.txt.gz",TRUE,776909,0.741
"GSM7140504_RECON2_synovium","GSM7140504","synovium","Reconstruction_52W","GSM7140504_RECON2_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140504_RECON2_synovium_quant.sf.txt.gz",TRUE,784900,0.749
