"human_symbol","CellAge_effect"
"RELB","Induces"
"RHOA","Inhibits"
"RNASEH2A","Inhibits"
"RNASEH2B","Inhibits"
"RNASEL","Induces"
"ROMO1","Induces"
"RPL11","Induces"
"RPS14","Induces"
"RPS6KB1","Induces"
"RPS9","Inhibits"
"RPTOR","Induces"
"RRAD","Inhibits"
"RRAS2","Inhibits"
"RRM1","Inhibits"
"RRM2","Inhibits"
"RRM2B","Inhibits"
"RRP8","Induces"
"RTN4","Induces"
"RUNX1","Induces"
"RUVBL2","Inhibits"
"S100A6","Inhibits"
"SALL1","Induces"
"SAMHD1","Inhibits"
"SAT2","Inhibits"
"SDC1","Inhibits"
"SELENBP1","Induces"
"SELENOH","Inhibits"
"SENP1","Inhibits"
"SENP7","Inhibits"
"SERPINB2","Induces"
"SERPINE1","Induces"
"SETD1A","Inhibits"
"SFN","Induces"
"SFRP1","Induces"
"SGK1","Inhibits"
"SIAH1","Induces"
"SIK1","Induces"
"SIN3B","Induces"
"SIRT1","Inhibits"
"SIRT2","Inhibits"
"SIRT3","Inhibits"
"SIRT6","Inhibits"
"SIRT7","Inhibits"
"SIX1","Inhibits"
"SIX6","Unclear"
"SKP2","Inhibits"
"SLC13A3","Induces"
"SLC16A7","Inhibits"
"SLC25A5","Inhibits"
"SLC31A2","Induces"
"SLC52A1","Inhibits"
"SLC5A2","Induces"
"SMAD1","Induces"
"SMAD2","Inhibits"
"SMAD3","Induces"
"SMAD5","Induces"
"SMAD6","Inhibits"
"SMARCA2","Inhibits"
"SMARCA4","Inhibits"
"SMARCB1","Induces"
"SMARCD1","Inhibits"
"SMC1A","Inhibits"
"SMC2","Inhibits"
"SMG1","Inhibits"
"SMURF2","Induces"
"SNAI1","Inhibits"
"SOCS1","Induces"
"SOD1","Inhibits"
"SOD2","Induces"
"SORBS2","Induces"
"SOX1","Induces"
"SOX2","Induces"
"SOX4","Inhibits"
"SOX5","Induces"
"SP1","Induces"
"SPAG9","Inhibits"
"SPARC","Induces"
"SPHK1","Inhibits"
"SPI1","Induces"
"SPIN1","Induces"
"SPOP","Induces"
"SRC","Inhibits"
"SREBF1","Induces"
"SRF","Inhibits"
"SRSF1","Induces"
"SRSF2","Inhibits"
"SRSF3","Inhibits"
"SSX2","Induces"
"STAG2","Induces"
"STAT1","Induces"
"STAT3","Induces"
"STAT5A","Induces"
"STAT5B","Induces"
"STAT6","Induces"
"STIM1","Unclear"
"STK32C","Induces"
"STK4","Induces"
"STK40","Induces"
"STN1","Inhibits"
"STUB1","Inhibits"
"SUMO2","Induces"
"SUMO3","Induces"
"SUPT5H","Inhibits"
"SUV39H1","Inhibits"
"SUZ12","Inhibits"
"SYK","Induces"
"SYT1","Inhibits"
"SYT7","Inhibits"
"TACC3","Inhibits"
"TAGLN","Induces"
"TBK1","Inhibits"
"TBPL1","Induces"
"TBX2","Inhibits"
"TBX3","Inhibits"
"TEAD1","Inhibits"
"TEAD4","Inhibits"
"TERF2","Inhibits"
"TERT","Inhibits"
"TFDP1","Inhibits"
"TFG","Inhibits"
"TGFB1I1","Induces"
"TGFB2","Inhibits"
"TGFBI","Induces"
"TGFBR1","Inhibits"
"TGFBR2","Unclear"
"THRB","Unclear"
"TIGAR","Induces"
"TIMELESS","Inhibits"
"TLR10","Induces"
"TLR2","Induces"
"TLR3","Induces"
"TLR4","Inhibits"
"TLR8","Inhibits"
"TMEM9B","Induces"
"TNFSF13","Inhibits"
"TNFSF15","Induces"
"TOM1","Induces"
"TOP1","Induces"
"TOP3A","Induces"
"TOPBP1","Inhibits"
"TP53","Induces"
"TP53BP1","Induces"
"TP53BP2","Induces"
"TP53I3","Inhibits"
"TP53INP1","Induces"
"TP63","Induces"
"TPP1","Inhibits"
"TPR","Inhibits"
"TPX2","Inhibits"
"TRA2B","Inhibits"
"TRDMT1","Inhibits"
"TRIM28","Induces"
"TRPM7","Inhibits"
"TRPM8","Inhibits"
"TRRAP","Inhibits"
"TSC22D1","Inhibits"
"TTK","Inhibits"
"TWIST1","Inhibits"
"TWIST2","Inhibits"
"TXN","Inhibits"
"TXNIP","Induces"
"TYK2","Induces"
"TYMS","Inhibits"
"UBE2C","Inhibits"
"UBE2I","Inhibits"
"UBE2N","Inhibits"
"UBE2V1","Inhibits"
"UBE2V2","Inhibits"
"UBE3A","Inhibits"
"UBTD1","Induces"
"UHRF1","Inhibits"
"ULK3","Induces"
"USP1","Inhibits"
"USP28","Induces"
"UTP6","Inhibits"
"VCAN","Induces"
"VDR","Inhibits"
"VEGFA","Inhibits"
"VENTX","Induces"
"WEE1","Inhibits"
"WIF1","Induces"
"WIPI1","Inhibits"
"WNT16","Induces"
"WNT2","Inhibits"
"WNT5A","Induces"
"WNT7B","Inhibits"
"WRN","Inhibits"
"WSB1","Inhibits"
"WT1","Inhibits"
"WWP1","Inhibits"
"XAF1","Induces"
"XIAP","Inhibits"
"XPC","Inhibits"
"XPO1","Induces"
"YAP1","Inhibits"
"YBX1","Inhibits"
"YEATS4","Inhibits"
"YPEL3","Induces"
"YWHAB","Inhibits"
"YWHAZ","Inhibits"
"YY1","Inhibits"
"ZCCHC10","Induces"
"ZDHHC3","Inhibits"
"ZEB1","Inhibits"
"ZFP36","Induces"
"ZFX","Inhibits"
"ZMAT3","Inhibits"
"ZMPSTE24","Inhibits"
"ZMYND11","Inhibits"
"ZNF148","Inhibits"
"ZNF207","Inhibits"
"ZNF217","Inhibits"
