"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_symbol"
9451,"EIF2AK3","eukaryotic translation initiation factor 2 alpha kinase 3","Yes","Unclear","Inhibits",22548801,"EIF2AK3"
1977,"EIF4E","eukaryotic translation initiation factor 4E","Yes","Oncogene-induced","Unclear",21399233,"EIF4E"
1978,"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","No","Oncogene-induced","Inhibits",19878875,"EIF4EBP1"
1982,"EIF4G2","eukaryotic translation initiation factor 4 gamma 2","Yes","Unclear","Inhibits",24497838,"EIF4G2"
1994,"ELAVL1","ELAV like RNA binding protein 1","Yes","Replicative","Inhibits",29584879,"ELAVL1"
6924,"ELOA","elongin A","No","Unclear","Inhibits",32264951,"ELOA"
2021,"ENDOG","endonuclease G","No","Unclear","Inhibits",20211237,"ENDOG"
2022,"ENG","endoglin","Yes","Unclear","Induces",27067789,"ENG"
2023,"ENO1","enolase 1","No","Oncogene-induced","Inhibits",18852884,"ENO1"
57089,"ENTPD7","ectonucleoside triphosphate diphosphohydrolase 7","No","Oncogene-induced","Induces",27737960,"ENTPD7"
2033,"EP300","E1A binding protein p300","No","Replicative","Induces",30773298,"EP300"
2034,"EPAS1","endothelial PAS domain protein 1","Yes","Replicative","Inhibits",26057707,"EPAS1"
2042,"EPHA3","EPH receptor A3","Yes","Unclear","Inhibits",23324396,"EPHA3"
2044,"EPHA5","EPH receptor A5","Yes","Stress-induced","Inhibits",25623065,"EPHA5"
2057,"EPOR","erythropoietin receptor","Yes","Stress-induced","Inhibits",25544764,"EPOR"
2064,"ERBB2","erb-b2 receptor tyrosine kinase 2","Yes","Oncogene-induced","Induces",15705882,"ERBB2"
2067,"ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit","No","Unclear","Inhibits",24964749,"ERCC1"
54206,"ERRFI1","ERBB receptor feedback inhibitor 1","No","Unclear","Induces",24815188,"ERRFI1"
30816,"ERVW-1","endogenous retrovirus group W member 1, envelope","No","Oncogene-induced","Induces",24186980,"ERVW-1"
9700,"ESPL1","extra spindle pole bodies like 1, separase","Yes","Oncogene-induced","Inhibits",28806777,"ESPL1"
2099,"ESR1","estrogen receptor 1","No","Oncogene-induced","Inhibits",27259243,"ESR1"
2103,"ESRRB","estrogen related receptor beta","Yes","Stress-induced","Induces",25496115,"ESRRB"
2113,"ETS1","ETS proto-oncogene 1, transcription factor","No","Oncogene-induced","Induces",11234019,"ETS1"
2114,"ETS2","ETS proto-oncogene 2, transcription factor","No","Oncogene-induced","Induces",11234019,"ETS2"
2120,"ETV6","ETS variant transcription factor 6","No","Unclear","Induces",30088951,"ETV6"
2130,"EWSR1","EWS RNA binding protein 1","No","Unclear","Induces",21030557,"EWSR1"
2146,"EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","Yes","Stress-induced","Inhibits",24588771,"EZH2"
2177,"FANCD2","FA complementation group D2","No","Stress-induced","Induces",21995812,"FANCD2"
2194,"FASN","fatty acid synthase","No","Oncogene-induced","Induces",30962418,"FASN"
10922,"FASTK","Fas activated serine/threonine kinase","No","Unclear","Induces",26583757,"FASTK"
26263,"FBXO22","F-box protein 22","Yes","Stress-induced","Induces",26868148,"FBXO22"
79791,"FBXO31","F-box protein 31","Yes","Unclear","Induces",16357137,"FBXO31"
26272,"FBXO4","F-box protein 4","Yes","Unclear","Induces",29142209,"FBXO4"
26271,"FBXO5","F-box protein 5","Yes","Oncogene-induced","Inhibits",17875940,"FBXO5"
23291,"FBXW11","F-box and WD repeat domain containing 11","Yes","Unclear","Inhibits",31406304,"FBXW11"
2224,"FDPS","farnesyl diphosphate synthase","Yes","Stress-induced","Inhibits",29030460,"FDPS"
55612,"FERMT1","FERM domain containing kindlin 1","No","Unclear","Inhibits",23278235,"FERMT1"
10979,"FERMT2","FERM domain containing kindlin 2","Yes","Unclear","Inhibits",31308359,"FERMT2"
26291,"FGF21","fibroblast growth factor 21","No","Replicative","Inhibits",31178962,"FGF21"
2260,"FGFR1","fibroblast growth factor receptor 1","Yes","Stress-induced","Induces",26250908,"FGFR1"
2263,"FGFR2","fibroblast growth factor receptor 2","No","Oncogene-induced","Unclear",19403560,"FGFR2"
2261,"FGFR3","fibroblast growth factor receptor 3","Yes","Oncogene-induced","Induces",23902722,"FGFR3"
51024,"FIS1","fission, mitochondrial 1","Yes","Unclear","Inhibits",17545159,"FIS1"
2321,"FLT1","fms related receptor tyrosine kinase 1","No","Unclear","Inhibits",18583712,"FLT1"
100529261,"FNTB","CHURC1-FNTB readthrough","Yes","Stress-induced","Inhibits",29030460,"FNTB"
2353,"FOS","Fos proto-oncogene, AP-1 transcription factor subunit","No","Unclear","Inhibits",1560044,"FOS"
3169,"FOXA1","forkhead box A1","Yes","Unclear","Induces",27349269,"FOXA1"
2297,"FOXD1","forkhead box D1","No","Replicative","Unclear",30933975,"FOXD1"
2305,"FOXM1","forkhead box M1","Yes","Unclear","Inhibits",25071344,"FOXM1"
2308,"FOXO1","forkhead box O1","No","Unclear","Induces",30088951,"FOXO1"
2309,"FOXO3","forkhead box O3","No","Unclear","Inhibits",15741276,"FOXO3"
4303,"FOXO4","forkhead box O4","Yes","Oncogene-induced","Induces",20959475,"FOXO4"
27086,"FOXP1","forkhead box P1","No","Replicative","Inhibits",28240601,"FOXP1"
50943,"FOXP3","forkhead box P3","Yes","Oncogene-induced","Induces",27238838,"FOXP3"
94234,"FOXQ1","forkhead box Q1","No","Unclear","Inhibits",29500491,"FOXQ1"
6624,"FSCN1","fascin actin-bundling protein 1","Yes","Stress-induced","Inhibits",26058854,"FSCN1"
2395,"FXN","frataxin","Yes","Unclear","Inhibits",24860428,"FXN"
8087,"FXR1","FMR1 autosomal homolog 1","Yes","Replicative","Inhibits",27606879,"FXR1"
2539,"G6PD","glucose-6-phosphate dehydrogenase","No","Stress-induced","Inhibits",10980404,"G6PD"
10912,"GADD45G","growth arrest and DNA damage inducible gamma","Yes","Replicative","Induces",23897841,"GADD45G"
2597,"GAPDH","glyceraldehyde-3-phosphate dehydrogenase","Yes","Stress-induced","Inhibits",21749859,"GAPDH"
2626,"GATA4","GATA binding protein 4","No","Replicative","Induces",26404840,"GATA4"
9518,"GDF15","growth differentiation factor 15","No","Oncogene-induced","Induces",26909594,"GDF15"
8487,"GEMIN2","gem nuclear organelle associated protein 2","Yes","Replicative","Induces",16461895,"GEMIN2"
