"gene_id","ENTREZID","SYMBOL","logFC","FDR","timepoint","strict_DEG","direction","fdr_source_column"
"G10090_9495","268396","Sh3pxd2b",1.95824047541481,5.34988838172246e-06,"4W",TRUE,"Up","FDR"
"G10090_30774","18196","Nsg1",1.66286943880564,5.41245706179369e-06,"4W",TRUE,"Up","FDR"
"G10090_22231","59033","Slc4a8",1.60484319316438,5.44763280684053e-06,"4W",TRUE,"Up","FDR"
"G10090_14246","76108","Rap2a",0.633446003596333,5.451423187347e-06,"4W",FALSE,"Up","FDR"
"G10090_12608","59010","Sqor",-0.722781702065234,5.451423187347e-06,"4W",FALSE,"Down","FDR"
"G10090_1849","71481","Alpk1",1.06464345043364,5.451423187347e-06,"4W",TRUE,"Up","FDR"
"G10090_24054","68126","Fahd2a",-0.981596025108352,5.451423187347e-06,"4W",FALSE,"Down","FDR"
"G10090_11086","57810","Cdon",1.49330758000023,5.451423187347e-06,"4W",TRUE,"Up","FDR"
"G10090_14650","50781","Dkk3",1.86850788928909,5.45307461835345e-06,"4W",TRUE,"Up","FDR"
"G10090_8534","20583","Snai2",1.56750685272772,5.45307461835345e-06,"4W",TRUE,"Up","FDR"
"G10090_26472","208647","Creb3l2",0.949928450352488,5.47667873171075e-06,"4W",FALSE,"Up","FDR"
"G10090_13245","217149","Cisd3",-0.917523742281328,5.49168125032208e-06,"4W",FALSE,"Down","FDR"
"G10090_25265","106957","Slc39a6",1.37125915699747,5.53600919880905e-06,"4W",TRUE,"Up","FDR"
"G10090_15341","69955","Fars2",-0.511758318184726,5.53600919880905e-06,"4W",FALSE,"Down","FDR"
"G10090_5357","109019","Nabp1",-1.09478266585267,5.53600919880905e-06,"4W",TRUE,"Down","FDR"
"G10090_3719","107522","Ece2",1.20227822973059,5.53845130601999e-06,"4W",TRUE,"Up","FDR"
"G10090_21170","238257","Tmem30b",1.5007964436361,5.57878942639155e-06,"4W",TRUE,"Up","FDR"
"G10090_1514","23984","Pde10a",0.920952072508262,5.59859801126421e-06,"4W",FALSE,"Up","FDR"
"G10090_19843","223722","Mcat",-0.716735148043173,5.59859801126421e-06,"4W",FALSE,"Down","FDR"
"G10090_932","66904","Pccb",-0.628610050935577,5.59859801126421e-06,"4W",FALSE,"Down","FDR"
"G10090_25590","66988","Lap3",-0.492653008296385,5.59859801126421e-06,"4W",FALSE,"Down","FDR"
