"sample_id","geo_accession","tissue_inferred","group_inferred","filename","file","file_exists","size_bytes","size_mb","readable","read_method","read_error","n_transcripts","has_Name","has_Length","has_EffectiveLength","has_TPM","has_NumReads","has_all_required_cols","tpm_sum","numreads_sum","length_min","effective_length_min","tpm_sum_close_1e6","expected_transcript_count_46295"
"GSM7140481_REPAIR9_cartilage","GSM7140481","cartilage","Repair_52W","GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz",TRUE,755040,0.72,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999919,15083336.03,9,1,TRUE,TRUE
"GSM7140482_REPAIR10_cartilage","GSM7140482","cartilage","Repair_52W","GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz",TRUE,759114,0.724,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000001,16093003.003,9,1,TRUE,TRUE
"GSM7140483_REPAIR11_cartilage","GSM7140483","cartilage","Repair_52W","GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz",TRUE,761780,0.726,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999964,13626455.962,9,1,TRUE,TRUE
"GSM7140484_CON12_cartilage","GSM7140484","cartilage","Control_52W","GSM7140484_CON12_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140484_CON12_cartilage_quant.sf.txt.gz",TRUE,766326,0.731,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000029,18365835.976,9,1,TRUE,TRUE
"GSM7140485_REPAIR12_cartilage","GSM7140485","cartilage","Repair_52W","GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz",TRUE,749637,0.715,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999998,12568434.018,9,1,TRUE,TRUE
"GSM7140486_CON1_synovium","GSM7140486","synovium","Control_52W","GSM7140486_CON1_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140486_CON1_synovium_quant.sf.txt.gz",TRUE,764562,0.729,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000038,7483048.956,9,1,TRUE,TRUE
"GSM7140487_ACLT1_synovium","GSM7140487","synovium","ACLT_alone_52W","GSM7140487_ACLT1_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140487_ACLT1_synovium_quant.sf.txt.gz",TRUE,766608,0.731,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999985,10848743.061,9,1,TRUE,TRUE
"GSM7140488_ACLT2_synovium","GSM7140488","synovium","ACLT_alone_52W","GSM7140488_ACLT2_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140488_ACLT2_synovium_quant.sf.txt.gz",TRUE,774441,0.739,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999947,11125858.006,9,1,TRUE,TRUE
"GSM7140489_ACLT3_synovium","GSM7140489","synovium","ACLT_alone_52W","GSM7140489_ACLT3_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140489_ACLT3_synovium_quant.sf.txt.gz",TRUE,773405,0.738,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999932,19992965.991,9,1,TRUE,TRUE
"GSM7140490_ACLT4_synovium","GSM7140490","synovium","ACLT_alone_52W","GSM7140490_ACLT4_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140490_ACLT4_synovium_quant.sf.txt.gz",TRUE,763542,0.728,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.00005,10082563.974,9,1,TRUE,TRUE
"GSM7140491_CON2_synovium","GSM7140491","synovium","Control_52W","GSM7140491_CON2_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140491_CON2_synovium_quant.sf.txt.gz",TRUE,768272,0.733,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000017,9584078.03,9,1,TRUE,TRUE
"GSM7140492_ACLT5_synovium","GSM7140492","synovium","ACLT_alone_52W","GSM7140492_ACLT5_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140492_ACLT5_synovium_quant.sf.txt.gz",TRUE,767095,0.732,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999934,9790093.923,9,1,TRUE,TRUE
"GSM7140493_ACLT6_synovium","GSM7140493","synovium","ACLT_alone_52W","GSM7140493_ACLT6_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140493_ACLT6_synovium_quant.sf.txt.gz",TRUE,759978,0.725,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999988,11842445.042,9,1,TRUE,TRUE
"GSM7140494_ACLT7_synovium","GSM7140494","synovium","ACLT_alone_52W","GSM7140494_ACLT7_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140494_ACLT7_synovium_quant.sf.txt.gz",TRUE,769819,0.734,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000013,10979935.999,9,1,TRUE,TRUE
