"column_name","core_group","value","Freq"
"sdrf__Comment[LIBRARY_LAYOUT]","ACLT_untreated_t7","PAIRED",6
"sdrf__Comment[LIBRARY_LAYOUT]","CON_t0","PAIRED",6
"sdrf__Comment[LIBRARY_SELECTION]","ACLT_untreated_t28","PolyA",6
"sdrf__Comment[LIBRARY_SELECTION]","ACLT_untreated_t7","PolyA",6
"sdrf__Comment[LIBRARY_SELECTION]","CON_t0","PolyA",6
"sdrf__Comment[LIBRARY_SOURCE]","ACLT_untreated_t28","TRANSCRIPTOMIC",6
"sdrf__Comment[LIBRARY_SOURCE]","ACLT_untreated_t7","TRANSCRIPTOMIC",6
"sdrf__Comment[LIBRARY_SOURCE]","CON_t0","TRANSCRIPTOMIC",6
"sdrf__Comment[LIBRARY_STRATEGY]","ACLT_untreated_t28","RNA-Seq",6
"sdrf__Comment[LIBRARY_STRATEGY]","ACLT_untreated_t7","RNA-Seq",6
"sdrf__Comment[LIBRARY_STRATEGY]","CON_t0","RNA-Seq",6
"sdrf__Comment[SUBMITTED_FILE_NAME]","CON_t0","CON1_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","CON_t0","CON2_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","CON_t0","CON3_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","CON_t0","CON4_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","CON_t0","CON5_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","CON_t0","CON6_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t28","INJL1_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t28","INJL2_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t28","INJL3_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t28","INJL4_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t28","INJL5_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t28","INJL6_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t7","INJS1_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t7","INJS2_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t7","INJS3_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t7","INJS4_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t7","INJS5_R1.fastq.gz",1
"sdrf__Comment[SUBMITTED_FILE_NAME]","ACLT_untreated_t7","INJS6_R1.fastq.gz",1
"sdrf__Protocol REF","ACLT_untreated_t28","P-MTAB-73625",6
"sdrf__Protocol REF","ACLT_untreated_t7","P-MTAB-73625",6
"sdrf__Protocol REF","CON_t0","P-MTAB-73625",6
"sdrf__Protocol REF.1","ACLT_untreated_t28","P-MTAB-73629",6
"sdrf__Protocol REF.1","ACLT_untreated_t7","P-MTAB-73629",6
"sdrf__Protocol REF.1","CON_t0","P-MTAB-73629",6
"sdrf__Protocol REF.2","ACLT_untreated_t28","P-MTAB-73626",6
"sdrf__Protocol REF.2","ACLT_untreated_t7","P-MTAB-73626",6
"sdrf__Protocol REF.2","CON_t0","P-MTAB-73626",6
"sdrf__Protocol REF.3","ACLT_untreated_t28","P-MTAB-73627",6
"sdrf__Protocol REF.3","ACLT_untreated_t7","P-MTAB-73627",6
"sdrf__Protocol REF.3","CON_t0","P-MTAB-73627",6
"sdrf__Protocol REF.4","ACLT_untreated_t28","P-MTAB-73628",6
"sdrf__Protocol REF.4","ACLT_untreated_t7","P-MTAB-73628",6
"sdrf__Protocol REF.4","CON_t0","P-MTAB-73628",6
"age","ACLT_untreated_t28","15.3",1
"age","ACLT_untreated_t7","16",1
"age","CON_t0","16.1",1
"age","CON_t0","16.4",1
"age","ACLT_untreated_t28","16.9",1
