"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class"
"Figure1D","1W","G10090_17598","14726","Pdpn","Pdpn",2.04719509757756,5.38103696148079,12.7618436560755,1.58107157467072e-12,2.19676847622454e-10,18.6826183751712,TRUE,"Up",19.7722518573985,9.65821571221765,"Up strict"
"Figure1D","1W","G10090_11657","66873","Tril","Tril",1.48442317921165,4.08371858752523,12.7471974985069,1.62157133832569e-12,2.23137571372875e-10,18.6621411439648,TRUE,"Up",14.3268023937586,9.65142729808852,"Up strict"
"Figure1D","1W","G10090_30436","330695","Ctxn1","Ctxn1",2.38259612686855,0.903105597961912,12.7375734200632,1.64876650703295e-12,2.2471902363951e-10,18.4703362349762,TRUE,"Up",22.9881455495822,9.64836016072751,"Up strict"
"Figure1D","1W","G10090_4496","333088","Kcp","Kcp",1.53477023866928,2.91079407571921,12.7168932071319,1.70881023510971e-12,2.29335213731049e-10,18.6610442948051,TRUE,"Up",14.7944626161859,9.63952925554082,"Up strict"
"Figure1D","1W","G10090_10316","66659","Acp6","Acp6",-1.13011076597638,4.4203597846441,-12.7133878861206,1.71920964104737e-12,2.29335213731049e-10,18.5567002762775,TRUE,"Down",10.8937357906309,9.63952925554082,"Down strict"
"Figure1D","1W","G10090_2733","72479","Hsdl2","Hsdl2",-1.29671847617203,5.41568617099125,-12.7095366110913,1.7307108575888e-12,2.29335213731049e-10,18.5479794439858,TRUE,"Down",12.4997556872606,9.63952925554082,"Down strict"
"Figure1D","1W","G10090_31209","20969","Sdc1","Sdc1",2.36871920070603,5.00402382933127,12.6873762042793,1.79845270144235e-12,2.36125290003132e-10,18.5609604745776,TRUE,"Up",22.8033221924785,9.62685749568024,"Up strict"
"Figure1D","1W","G10090_16413","12567","Cdk4","Cdk4",0.883826895431562,6.0585141057799,12.6765667365704,1.83248477491934e-12,2.38406269217006e-10,18.5282495687178,FALSE,"Not_strict",8.5047854480496,9.62268232841774,"Not strict"
"Figure1D","1W","G10090_2132","13823","Epb41l3","Epb41l3",2.07733321296232,3.91156201115497,12.6515996242326,1.91365856401853e-12,2.46724033420443e-10,18.5209522114253,TRUE,"Up",19.9585782450866,9.60778854376726,"Up strict"
"Figure1D","1W","G10090_10641","52666","Arhgef25","Arhgef25",1.40421333630041,5.25058272110402,12.6422639080248,1.94495791659153e-12,2.46947141481318e-10,18.4541942438211,TRUE,"Up",13.4908335855695,9.60739599661754,"Up strict"
