"st_gene_id","ENTREZID","SYMBOL"
"G10090_24525","102247","Gpat4"
"G10090_18684","102278","Cpne7"
"G10090_14988","102294","Cyp4v3"
"G10090_17960","102308570","Lbhd1"
"G10090_11440","102323","Dcun1d2"
"G10090_1694","102334","Ankrd10"
"G10090_10300","102339","Cog4"
"G10090_7198","102371","Myzap"
"G10090_12155","102414","Clk3"
"G10090_8563","102423","Hinfp"
"G10090_27672","102436","Lars2"
"G10090_7707","102442","Dennd4a"
"G10090_23747","102443350","Xndc1"
"G10090_18272","102443351","Xntrpc"
"G10090_19851","102448","Xylb"
"G10090_31827","102462","Imp3"
"G10090_22521","102502","Pls1"
"G10090_14781","102545","Cmtm7"
"G10090_8872","102566","Ano10"
"G10090_23666","102570","Slc22a13"
"G10090_4623","102580","Alg9"
"G10090_3507","102595","Plekho2"
"G10090_5015","102607","Snx19"
"G10090_25367","102614","Rpp25"
"G10090_12681","102626","Mapkapk3"
"G10090_25300","102631503","Gm29825"
"G10090_13757","102631585",""
"G10090_15537","102631705","Gm29975"
"G10090_23372","102631717","Gm29986"
"G10090_24287","102631730","4930512M02Rik"
"G10090_6942","102631805","Gm272"
"G10090_10749","102631856","Gm30083"
"G10090_12855","102631909","Gm30124"
"G10090_5589","102631980","Gm30172"
"G10090_29772","102632","Acad11"
"G10090_28545","102632102",""
"G10090_14167","102632142","Gm18905"
"G10090_32215","102632152","Spata31e1"
"G10090_1779","102632299","Gm30411"
"G10090_1178","102632353","Gm30447"
"G10090_20729","102632383",""
"G10090_10577","102632470","Gm30534"
"G10090_2109","102632483","Gm17330"
"G10090_6304","102632554","Gm30599"
"G10090_25689","102632652","Gm30674"
"G10090_21924","102632688","Gm30694"
"G10090_18897","102632693","Gm30698"
"G10090_31454","102632737","Gm30732"
"G10090_15487","102632738","Gm30733"
"G10090_26295","102632739","Gm19774"
"G10090_3509","102632837","Rnf212b"
"G10090_24896","102633023","Gm21759"
"G10090_8145","102633032","1700064H15Rik"
"G10090_30812","102633100","Pramel41"
"G10090_8923","102633131","Gm31035"
"G10090_30929","102633156","Gm4631"
"G10090_11933","102633301","Gm31160"
"G10090_9127","102633307","Gm31166"
"G10090_32053","102633345","Gm9922"
"G10090_2470","102633420","Gm12223"
"G10090_30540","102633458","Gm11100"
"G10090_24614","102633498","Gm31309"
"G10090_10836","102633679",""
"G10090_16169","102633740","Gm31493"
"G10090_32882","102633750","Zfp1001"
