"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000032423","SPOCK1",0.478277280501427,0.0700424630132926,0.129261426204596,1.15463859054013
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002315","SLC8A3",0.673240790373059,0.0701627523718975,0.129466548279775,1.15389338263402
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000008340","ANTXR1",0.638999411609584,0.0702980038025199,0.129667400651127,1.15305700712611
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000001516","BAK1",0.230561792962902,0.0702990659135842,0.129667400651127,1.15305044555302
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000059997","MALL",0.363936337942698,0.0703710186160112,0.129766320489153,1.15260616254215
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002138","OSGEP",0.197769623404819,0.070577966451457,0.130054636994062,1.15133085903405
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015936","PHOSPHO2",0.365357177687367,0.0705916442537667,0.130054636994062,1.15124670219525
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000038873","SLMAP",0.302161142629598,0.0706183247097985,0.13008687100918,1.15108258949057
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000021410","STRAP",0.210269433111497,0.0706870145355798,0.130193306405421,1.15066036036874
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015786","PRIMPOL",0.325484213111993,0.0706944874021526,0.130193306405421,1.15061445019414
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000063596","CCR2",0.637019502940107,0.0707274530434183,0.13023708332124,1.15041198095481
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000034893","COPS6",0.196148335744384,0.070880598793859,0.130500764324661,1.14947262221905
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011501","SUCLG2",0.182618056230939,0.0708982901354324,0.130500764324661,1.149364238635
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011296","ANO10",0.199478164232561,0.0709776904810793,0.130629938666061,1.1488781361189
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000039887","MARCHF5",0.194445938915852,0.0709967311366786,0.130648005693116,1.14876164680183
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009680","EXTL3",0.20908675223629,0.0711578445164222,0.130846161277435,1.14777721585514
