"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000014257","SLC27A6",-1.65583717332618,0.000117757679379195,0.00101093993051348,-3.92901076145376
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000021774","B3GALNT1",-1.16043085783036,0.000117039768324728,0.00100539315097107,-3.93166654654946
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000015563","RGL1",-0.465345227621789,0.000116214849974664,0.00100014771318085,-3.93473837409723
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000031493","CYBA",-1.96063018170653,0.000115708534995344,0.000997015942772185,-3.93663460505284
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000030425","SPHK2",-1.04440253463613,0.00011475088358353,0.000989373073852579,-3.94024396170378
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017203","GALK1",-1.24832339057448,0.000114681599735297,0.000989373073852579,-3.9405062575518
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000010723","ACADSB",-0.744069913263291,0.000113500135784338,0.000982218109550245,-3.94500361890827
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000036286","APMAP",-0.542035050612914,0.000113316968879971,0.000981239454704606,-3.9457050509563
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000011714","MED12L",-1.11236212771607,0.000113033951059894,0.000979394420012768,-3.94679109153105
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000012512","ZMAT1",-2.01993680298541,0.000112912641388173,0.000978949105088046,-3.94725743293962
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000038918","CTSF",-1.02501613025422,0.000112740043595824,0.000978058296424243,-3.94792180157701
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000009625","PDLIM2",-1.08643743933259,0.000112570186861436,0.000977190177578318,-3.9485766130011
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000038969","DMPK",-0.664987516091457,0.000112557286287628,0.000977190177578318,-3.94862638611805
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017136","TBCD",-0.798125937528464,0.00011239877139536,0.00097691346808059,-3.94923843591226
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000035795","SUMO3",-0.541852706500954,0.000112358839343308,0.00097691346808059,-3.94939275567018
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000004402","METTL24",-1.80090357800822,0.000112211669882453,0.00097691346808059,-3.94996197461281
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000040968","DUS3L",-0.927398934960438,0.000111424448277097,0.000972065498302746,-3.95301950766409
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000039670","EPN1",-0.907564857871043,0.000111393549148944,0.000972065498302746,-3.95313995862491
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000008695","MFSD10",-0.767578647496065,0.000111192628389503,0.000971253389089099,-3.95392400372411
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000031088","RPS7",-0.857866929569325,0.00011089376250522,0.000970189208267013,-3.9550928811344
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000018063","ENSSSCG00000018063",-2.00676370701343,0.000110525486955883,0.000968446726130333,-3.95653756299266
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000031199","ENSSSCG00000031199",-1.14586838816648,0.000110372332647517,0.000967710332955878,-3.9571397788206
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000030154","RSBN1",-0.754244461530516,0.00010967693848403,0.000962819117651023,-3.9598846809214
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000036595","ZGPAT",-1.08665820874084,0.000109613656926704,0.000962819117651023,-3.96013533309245
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007162","UBOX5",-0.693872693555459,0.000109235316318556,0.000960146201564607,-3.96163692937278
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000009745","ADGRD1",-2.61700170188792,0.000108854356414863,0.000957398679975445,-3.9631541855565
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000051369","ENSSSCG00000051369",-0.970305122469986,0.000108803744441242,0.000957398679975445,-3.96335615829421
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000014179","FAM174A",-0.691458823958687,0.000108793977050138,0.000957398679975445,-3.96339514697509
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000040334","CBX6",-1.21349181440456,0.000108511857545406,0.000956790320749859,-3.96452280204434
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000013729","GCDH",-0.491893845420028,0.000108467425907849,0.000956790320749859,-3.96470066617013
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000057430","JMJD7",-0.898845909070143,0.000108430520054763,0.000956790320749859,-3.96484845925714
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007507","PCK1",-3.02469298027384,0.00010811361231533,0.000955686110883364,-3.96611962166879
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000009672","ENSSSCG00000009672",-0.78540879317288,0.000108042856303822,0.000955686110883364,-3.96640394299078
