"gene_id","ENTREZID_1W","SYMBOL_1W","logFC_1W","FDR_1W","direction_1W","ENTREZID_4W","SYMBOL_4W","logFC_4W","FDR_4W","direction_4W","in_1W","in_4W","direction_relation","category","ENTREZID","SYMBOL","plot_class","label_name","combined_score"
"G10090_5705",83490,"Pik3ap1",2.10341196791301,1.66723948508837e-09,"Up",83490,"Pik3ap1",1.01230967700421,3.12681763110625e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",83490,"Pik3ap1","Persistent_up","Pik3ap1",23.0241057686819
"G10090_5708",108167886,"4930434J08Rik",1.56845206249006,6.18566142975808e-07,"Up",108167886,"4930434J08Rik",1.00508588541039,0.0249006105035191,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",108167886,"4930434J08Rik","Persistent_up","4930434J08Rik",11.3498599026349
"G10090_5728",56710,"Brinp1",3.94484882431973,4.68649525550214e-09,"Up",56710,"Brinp1",3.11722829497553,4.5412657822871e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",56710,"Brinp1","Persistent_up","Brinp1",46.3948157425183
"G10090_5737",80286,"Tusc3",1.14252061028952,1.02336310324379e-07,"Up",80286,"Tusc3",1.11155527565748,3.21790915256664e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",80286,"Tusc3","Persistent_up","Tusc3",12.9797651370231
"G10090_5741",14814,"Grin2d",2.23195421738287,1.51635724332518e-08,"Up",14814,"Grin2d",1.43201889309719,0.000112482636110605,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",14814,"Grin2d","Persistent_up","Grin2d",23.1070131929248
"G10090_5757",12661,"Chl1",2.89437238798682,3.80110445686074e-09,"Up",12661,"Chl1",2.33993669779931,0.000277696824833411,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",12661,"Chl1","Persistent_up","Chl1",32.6926954975645
"G10090_5788",15203,"Heph",-1.05494474002601,0.000217556281909583,"Down",15203,"Heph",-1.20149582567543,0.00013988454264583,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",15203,"Heph","Persistent_down","Heph",8.49450113065172
"G10090_5796",54613,"St3gal6",-1.32974341584655,1.77733308070812e-05,"Down",54613,"St3gal6",-1.00496452535842,0.000311235158323738,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",54613,"St3gal6","Persistent_down","St3gal6",9.84091012930089
"G10090_5798",17200,"Mc2r",-1.5215924066483,0.000956130592429856,"Down",17200,"Mc2r",-1.34793572862185,0.00128546217868221,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",17200,"Mc2r","Persistent_down","Mc2r",8.49122433351561
"G10090_5808",72536,"Tagap",1.11528125760456,5.5223066040992e-06,"Up",72536,"Tagap",1.29235977165796,0.000231236079474653,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",72536,"Tagap","Persistent_up","Tagap",10.5629627216982
